timestamp,source,proximity
2021-06-06 21:44:04.889000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 21:44:12.930000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 21:44:40.970000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 21:50:21.561000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 21:50:24.778000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 21:50:28.691000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 21:50:59.357000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 21:51:40.687000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 21:51:42.028000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 21:53:19.043000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 21:55:25.541000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 21:55:28.703000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 21:56:24.061000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:06:38.875000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:06:40.214000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:06:41.445000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:06:42.838000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:06:57.354000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:06:58.962000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:07:00.193000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:07:07.532000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:07:38.333000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:07:43.314000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:07:45.778000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:07:46.850000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:07:48.724000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:07:50.867000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:07:52.955000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:07:55.258000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:07:58.633000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:08:00.508000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:08:08.275000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:08:19.525000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:08:22.203000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:08:29.113000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:08:31.738000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:08:32.969000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:08:38.218000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:08:39.396000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:08:40.735000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:08:42.556000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:08:45.128000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:20:47.572000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:22:20.536000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:22:31.085000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:47:09.524000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:47:10.650000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:47:19.603000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:47:35.847000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:47:36.919000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:47:38.582000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:47:41.959000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:47:43.460000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:47:46.301000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:47:47.588000+02:00,fongenae.OnePlus.IN2023,0.0
2021-06-06 22:47:48.875000+02:00,fongenae.OnePlus.IN2023,5.0
2021-06-06 22:47:50.054000+02:00,fongenae.OnePlus.IN2023,0.0
